date,home_team,away_team,home_score,away_score,neutral,result,home_hist_pts,home_rank_pos,away_hist_pts,away_rank_pos,result_binary,home_perf_pts,away_perf_pts,home_form,away_form,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,dif_points,dif_form,dif_ranking_pos,dif_gf,dif_ga
1892-03-19,Northern Ireland,Scotland,2,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.6666666666666666,2.0,1.8333333333333333,2.8333333333333335,2.8333333333333335,1.3333333333333333,0.0,-1.3333333333333335,0.0,-1.0000000000000002,1.5000000000000002
1892-03-26,Scotland,Wales,6,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,0.0,2.5,1.4,1.6666666666666667,3.6,0.0,2.0,0.0,1.1,-1.9333333333333333
1892-04-02,Scotland,England,1,4,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,2.0,2.6666666666666665,2.8333333333333335,2.8333333333333335,1.6666666666666667,0.6666666666666666,0.0,-0.6666666666666665,0.0,0.0,1.0
1893-02-25,England,Northern Ireland,6,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,0.2,3.3333333333333335,1.0,0.6666666666666666,2.8,0.0,2.8,0.0,2.3333333333333335,-2.1333333333333333
1893-03-13,England,Wales,6,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,0.0,3.2,1.25,0.6,3.25,0.0,3.0,0.0,1.9500000000000002,-2.65
1893-03-18,Wales,Scotland,0,8,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.0,1.0,2.8333333333333335,3.8,2.1666666666666665,0.0,-2.0,0.0,-1.8333333333333335,1.6333333333333333
1893-03-25,Scotland,Northern Ireland,6,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,0.2,3.5,1.0,1.6666666666666667,2.8,0.0,1.8,0.0,2.5,-1.133333333333333
1893-04-01,England,Scotland,5,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,3.0,2.0,3.6666666666666665,4.166666666666667,0.5,1.6666666666666667,0.0,1.0,0.0,-0.5000000000000004,-1.1666666666666667
1894-02-24,Wales,Northern Ireland,4,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,0.2,0.4,1.0,4.6,3.6,0.0,-0.2,0.0,-0.6,0.9999999999999996
1894-03-03,Northern Ireland,England,2,2,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,0.0,3.0,1.0,4.166666666666667,4.2,0.6666666666666666,0.0,-3.0,0.0,-3.166666666666667,3.5333333333333337
1894-03-12,Wales,England,1,5,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.75,2.6,1.25,4.6,5.25,1.2,0.0,-1.85,0.0,-3.3499999999999996,4.05
1894-03-24,Scotland,Wales,5,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.8,0.6,4.6,1.2,2.2,5.2,0.0,1.2000000000000002,0.0,3.3999999999999995,-3.0
1894-03-31,Northern Ireland,Scotland,1,2,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,1.8,1.25,4.4,4.5,2.4,0.0,-1.8,0.0,-3.1500000000000004,2.1
1894-04-07,Scotland,England,2,2,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,2.4,2.6,4.6,4.8,1.8,1.2,0.0,-0.20000000000000018,0.0,-0.20000000000000018,0.6000000000000001
1895-03-09,England,Northern Ireland,9,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.2,0.0,4.0,1.25,1.4,3.5,0.0,2.2,0.0,2.75,-2.1
1895-03-16,Northern Ireland,Wales,2,2,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,0.0,0.75,1.0,1.75,4.6,4.75,0.0,-0.75,0.0,-0.75,-0.15000000000000036
1895-03-18,England,Wales,1,1,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,2.2,0.8,4.6,1.8,1.4,4.2,0.0,1.4000000000000001,0.0,2.8,-2.8000000000000003
1895-03-23,Wales,Scotland,2,2,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,1.0,1.8,2.0,3.4,2.8,2.2,0.0,-0.8,0.0,-1.4,0.5999999999999996
1895-03-30,Scotland,Northern Ireland,3,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.4,0.0,2.6,1.2,2.4,3.8,0.0,1.4,0.0,1.4000000000000001,-1.4
1895-04-06,England,Scotland,3,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.6,2.0,3.8,2.8,1.2,1.6,0.0,-0.3999999999999999,0.0,1.0,-0.40000000000000013
1896-02-29,Wales,Northern Ireland,6,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.4,0.0,1.6,1.2,3.0,3.6,0.0,0.4,0.0,0.40000000000000013,-0.6000000000000001
1896-03-07,Northern Ireland,England,0,2,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,2.0,1.0,4.0,4.4,0.8,0.0,-2.0,0.0,-3.0,3.6000000000000005
1896-03-16,Wales,England,1,9,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.0,2.0,2.6,3.4,2.2,0.6,0.0,-1.0,0.0,-0.7999999999999998,1.6
1896-03-21,Scotland,Wales,4,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.6666666666666667,0.8333333333333334,2.3333333333333335,2.3333333333333335,1.8333333333333333,3.3333333333333335,0.0,0.8333333333333334,0.0,0.0,-1.5000000000000002
1896-03-28,Northern Ireland,Scotland,3,3,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,0.0,1.6666666666666667,0.8333333333333334,2.1666666666666665,4.0,1.5,0.0,-1.6666666666666667,0.0,-1.333333333333333,2.5
1896-04-04,Scotland,England,2,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.3333333333333333,2.1666666666666665,2.3333333333333335,4.333333333333333,1.8333333333333333,0.6666666666666666,0.0,-0.8333333333333333,0.0,-1.9999999999999996,1.1666666666666665
1897-02-20,England,Northern Ireland,6,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.0,0.0,4.166666666666667,1.1666666666666667,0.6666666666666666,4.166666666666667,0.0,2.0,0.0,3.0,-3.5000000000000004
1897-03-06,Northern Ireland,Wales,4,3,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,0.0,0.8333333333333334,1.0,2.0,4.428571428571429,3.1666666666666665,0.0,-0.8333333333333334,0.0,-1.0,1.2619047619047623
1897-03-20,Wales,Scotland,2,2,0,1,1200.0,200.0,1200.0,200.0,0,0.0,1.0,0.6,1.8333333333333333,2.4,2.3333333333333335,4.0,1.6666666666666667,0.0,-1.2333333333333334,0.0,0.06666666666666643,2.333333333333333
1897-03-27,Scotland,Northern Ireland,5,1,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,1.8333333333333333,0.5,2.3333333333333335,1.5,1.6666666666666667,3.8333333333333335,0.0,1.3333333333333333,0.0,0.8333333333333335,-2.166666666666667
1897-03-29,England,Wales,4,0,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.4,0.6,4.2,2.4,0.6,4.0,0.0,1.7999999999999998,0.0,1.8000000000000003,-3.4
1897-04-03,England,Scotland,1,2,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,2.5,1.8333333333333333,4.166666666666667,2.6666666666666665,0.5,1.6666666666666667,0.0,0.6666666666666667,0.0,1.5000000000000004,-1.1666666666666667
1898-02-19,Wales,Northern Ireland,0,1,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.5,0.5,2.0,1.5,4.0,4.166666666666667,0.0,0.0,0.0,0.5,-0.16666666666666696
1898-03-05,Northern Ireland,England,2,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.0,2.0,1.5,3.8333333333333335,3.1666666666666665,0.8333333333333334,0.0,-1.0,0.0,-2.3333333333333335,2.333333333333333
1898-03-19,Scotland,Wales,5,2,0,0,1200.0,200.0,1200.0,200.0,1,3.0,0.0,2.3333333333333335,0.0,3.0,1.0,1.3333333333333333,3.0,0.0,2.3333333333333335,0.0,2.0,-1.6666666666666667
1898-03-26,Northern Ireland,Scotland,0,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,1.0,2.3333333333333335,1.8333333333333333,3.1666666666666665,3.3333333333333335,1.6666666666666667,0.0,-1.3333333333333335,0.0,-1.3333333333333333,1.6666666666666667
1898-03-28,Wales,England,0,3,0,2,1200.0,200.0,1200.0,200.0,0,0.0,3.0,0.0,1.8,1.4,3.0,3.2,1.2,0.0,-1.8,0.0,-1.6,2.0
